observation_id,timestamp,time_index,asset,regime,case_type,schema_variant,open,high,low,close,volume,log_return_1,rolling_vol_20,momentum_20,drawdown_60,stress_score,volume_zscore,target_return_1,target_regime,quality_flags,valid_for_training
2020-01-02-CASH-00019,2020-01-02T00:00:00Z,0,CASH,NORMAL,sparse_history,v1,147.5000000000,147.5284521496,147.4952584197,147.5237098071,1063671.0754172835,0.0001607315,,,0.0000000000,0.0000000000,0.0000000000,0.0000560933,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-03-SPY-00020,2020-01-03T00:00:00Z,1,SPY,NORMAL,sparse_history,v1,100.5199155204,101.4789643052,100.3608107910,101.3185954109,1019740.8279468103,0.0079140899,,,0.0000000000,0.0000000000,0.0000000000,-0.0045635763,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-03-QQQ-00021,2020-01-03T00:00:00Z,1,QQQ,NORMAL,sparse_history,v1,102.2999302187,102.3383287109,102.0697913118,102.1081178068,1048728.2026570295,-0.0018767604,,,-0.0018750004,0.0000000000,0.0000000000,-0.0050799491,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-03-TLT-00022,2020-01-03T00:00:00Z,1,TLT,NORMAL,sparse_history,v1,103.8698812666,104.1775390607,103.8186786543,104.1262100913,1121225.7095157697,0.0024647478,,,0.0000000000,0.0000000000,0.0000000000,0.0026051621,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-03-GLD-00023,2020-01-03T00:00:00Z,1,GLD,NORMAL,sparse_history,v1,108.9980676266,110.2580476155,108.7892421353,110.0472121059,867001.9705786984,0.0095793208,,,0.0000000000,0.0000000000,0.0000000000,-0.0028633471,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-03-IWM-00024,2020-01-03T00:00:00Z,1,IWM,NORMAL,sparse_history,v1,110.5510155229,110.6485936609,109.9670513973,110.0641998462,950843.3303229754,-0.0044132628,,,-0.0044035387,0.0000000000,0.0000000000,0.0026100898,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-03-EEM-00025,2020-01-03T00:00:00Z,1,EEM,NORMAL,sparse_history,v1,113.7210716270,113.9314680372,112.4654812089,112.6739403117,1049275.4161343537,-0.0092505464,,,-0.0092078917,0.0000000000,0.0000000000,0.0016868097,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-03-HYG-00026,2020-01-03T00:00:00Z,1,HYG,NORMAL,sparse_history,v1,114.8744980447,116.3039877445,114.6376793208,116.0647153364,922469.1990823657,0.0103077153,,,0.0000000000,0.0000000000,0.0000000000,0.0169124250,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-03-LQD-00027,2020-01-03T00:00:00Z,1,LQD,NORMAL,sparse_history,v1,117.3842633678,117.4993176530,116.6959074615,116.8103992734,887220.9771122058,-0.0049007542,,,-0.0048887651,0.0000000000,0.0000000000,0.0172152873,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-03-VNQ-00028,2020-01-03T00:00:00Z,1,VNQ,NORMAL,sparse_history,v1,120.2167751131,120.4699971899,118.7067394914,118.9573086546,1031363.1389945610,-0.0105318944,,,-0.0104766282,0.0000000000,0.0000000000,0.0030609703,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-03-DBC-00029,2020-01-03T00:00:00Z,1,DBC,NORMAL,sparse_history,v1,123.5449087779,123.5985922173,123.2232160235,123.2767829553,908212.9731506248,-0.0021726286,,,-0.0021702701,0.0000000000,0.0000000000,-0.0084210094,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-03-XLK-00030,2020-01-03T00:00:00Z,1,XLK,NORMAL,sparse_history,v1,124.9310408811,125.6714177288,124.8079988501,125.5477682955,1039940.3919315173,0.0049243979,,,0.0000000000,0.0000000000,0.0000000000,0.0161338013,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-03-XLF-00031,2020-01-03T00:00:00Z,1,XLF,NORMAL,sparse_history,v1,127.4434648185,127.9965342514,127.3514804870,127.9042173645,1006178.4158861320,0.0036088289,,,0.0000000000,0.0000000000,0.0000000000,0.0057721970,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-03-XLE-00032,2020-01-03T00:00:00Z,1,XLE,NORMAL,sparse_history,v1,131.1810353485,131.3727020998,130.0359219579,130.2261936034,1018423.2562753750,-0.0073054291,,,-0.0072788093,0.0000000000,0.0000000000,-0.0002293691,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-03-XLP-00033,2020-01-03T00:00:00Z,1,XLP,NORMAL,sparse_history,v1,132.8507536593,133.6637480059,132.7156560775,133.5279617628,887045.0433028445,0.0050845621,,,0.0000000000,0.0000000000,0.0000000000,0.0069825211,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-03-XLU-00034,2020-01-03T00:00:00Z,1,XLU,NORMAL,sparse_history,v1,136.0091398093,136.7754447281,135.8817708374,136.6474779694,970264.0563825091,0.0046823681,,,0.0000000000,0.0000000000,0.0000000000,0.0008148265,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-03-XLI-00035,2020-01-03T00:00:00Z,1,XLI,NORMAL,sparse_history,v1,137.8875519223,138.1901977073,136.0832534759,136.3825960725,1068052.2536882234,-0.0109743694,,,-0.0109143707,0.0000000000,0.0000000000,0.0015750896,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-03-XLC-00036,2020-01-03T00:00:00Z,1,XLC,NORMAL,sparse_history,v1,140.0383336378,140.1824996182,140.0143179907,140.1584633697,972755.9337394469,0.0008574669,,,0.0000000000,0.0000000000,0.0000000000,0.0027469169,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-03-XLB-00037,2020-01-03T00:00:00Z,1,XLB,NORMAL,sparse_history,v1,139.5301088705,139.5427582217,139.4542328280,139.4668764468,1013483.8414261597,-0.0004532839,,,-0.0004531812,0.0000000000,0.0000000000,-0.0038771325,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-03-XLY-00038,2020-01-03T00:00:00Z,1,XLY,NORMAL,sparse_history,v1,146.7190600349,147.2144862651,146.6366242340,147.1318185510,993535.2351731833,0.0028093078,,,0.0000000000,0.0000000000,0.0000000000,-0.0014665327,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-03-CASH-00039,2020-01-03T00:00:00Z,1,CASH,NORMAL,sparse_history,v1,147.5237098071,147.5336402434,147.5220547885,147.5319851320,1013360.4456588299,0.0000560933,,,0.0000000000,0.0000000000,0.0000000000,0.0004159746,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-04-SPY-00040,2020-01-04T00:00:00Z,2,SPY,NORMAL,sparse_history,v1,101.3185954109,101.4110704397,100.7652197325,100.8572737059,1000818.5826575708,-0.0045635763,,,-0.0045531790,0.0000000000,0.0000000000,-0.0067033794,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-04-QQQ-00041,2020-01-04T00:00:00Z,2,QQQ,NORMAL,sparse_history,v1,102.1081178068,102.2118586143,101.4875138908,101.5907290365,944237.7079461683,-0.0050799491,,,-0.0069325676,0.0000000000,0.0000000000,0.0099735777,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-04-TLT-00042,2020-01-04T00:00:00Z,2,TLT,NORMAL,sparse_history,v1,104.1262100913,104.4522240550,104.0719569598,104.3978294011,982963.9815945211,0.0026051621,,,0.0000000000,0.0000000000,0.0000000000,0.0007462526,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-04-GLD-00043,2020-01-04T00:00:00Z,2,GLD,NORMAL,sparse_history,v1,110.0472121059,110.1102327782,109.6697189590,109.7325594393,973721.1085432617,-0.0028633471,,,-0.0028592516,0.0000000000,0.0000000000,0.0031534370,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-04-IWM-00044,2020-01-04T00:00:00Z,2,IWM,NORMAL,sparse_history,v1,110.0641998462,110.4094581730,110.0067443577,110.3518525247,985901.0729287179,0.0026100898,,,-0.0018015483,0.0000000000,0.0000000000,0.0071326356,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-04-EEM-00045,2020-01-04T00:00:00Z,2,EEM,NORMAL,sparse_history,v1,112.6739403117,112.9022362636,112.6359284131,112.8641601921,1111560.8677057636,0.0016868097,,,-0.0075352037,0.0000000000,0.0000000000,0.0070573081,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-04-HYG-00046,2020-01-04T00:00:00Z,2,HYG,NORMAL,sparse_history,v1,116.0647153364,118.4436273284,115.6721281778,118.0443441052,943733.1540622425,0.0169124250,,,0.0000000000,0.0000000000,0.0000000000,0.0009434423,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-04-LQD-00047,2020-01-04T00:00:00Z,2,LQD,NORMAL,sparse_history,v1,116.8103992734,119.2479015288,116.4082143556,118.8387329417,1055594.9713065566,0.0172152873,,,0.0000000000,0.0000000000,0.0000000000,-0.0070670658,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-04-VNQ-00048,2020-01-04T00:00:00Z,2,VNQ,NORMAL,sparse_history,v1,118.9573086546,119.3950395073,118.8844836980,119.3219912942,999166.7255635350,0.0030609703,,,-0.0074430862,0.0000000000,0.0000000000,-0.0075567967,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-04-DBC-00049,2020-01-04T00:00:00Z,2,DBC,NORMAL,sparse_history,v1,123.2767829553,123.4844059440,122.0371448217,122.2430267563,963810.8287320100,-0.0084210094,,,-0.0105377230,0.0000000000,0.0000000000,0.0086000717,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-04-XLK-00050,2020-01-04T00:00:00Z,2,XLK,NORMAL,sparse_history,v1,125.5477682955,128.0014608529,125.1426557459,127.5897592880,1005763.9375244800,0.0161338013,,,0.0000000000,0.0000000000,0.0000000000,0.0036746826,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-04-XLF-00051,2020-01-04T00:00:00Z,2,XLF,NORMAL,sparse_history,v1,127.9042173645,128.7931530306,127.7565596956,128.6446405879,940246.5734741738,0.0057721970,,,0.0000000000,0.0000000000,0.0000000000,-0.0100537610,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-04-XLE-00052,2020-01-04T00:00:00Z,2,XLE,NORMAL,sparse_history,v1,130.2261936034,130.2321675755,130.1903545658,130.1963271679,1099571.1649009832,-0.0002293691,,,-0.0075064828,0.0000000000,0.0000000000,0.0140368406,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-04-XLP-00053,2020-01-04T00:00:00Z,2,XLP,NORMAL,sparse_history,v1,133.5279617628,134.6513652422,133.3414894014,134.4635862773,885906.5692781563,0.0069825211,,,0.0000000000,0.0000000000,0.0000000000,0.0030089701,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-04-XLU-00054,2020-01-04T00:00:00Z,2,XLU,NORMAL,sparse_history,v1,136.6474779694,136.7811542854,136.6252091714,136.7588673348,975019.3692366865,0.0008148265,,,0.0000000000,0.0000000000,0.0000000000,0.0035373038,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-04-XLI-00055,2020-01-04T00:00:00Z,2,XLI,NORMAL,sparse_history,v1,136.3825960725,136.6406108286,136.3396331114,136.5975801435,1050604.9601226046,0.0015750896,,,-0.0093552446,0.0000000000,0.0000000000,0.0014199836,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-04-XLC-00056,2020-01-04T00:00:00Z,2,XLC,NORMAL,sparse_history,v1,140.1584633697,140.6212088319,140.0814626387,140.5439962956,958369.4647001133,0.0027469169,,,0.0000000000,0.0000000000,0.0000000000,-0.0134481061,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-04-XLB-00057,2020-01-04T00:00:00Z,2,XLB,NORMAL,sparse_history,v1,139.4668764468,139.5750227584,138.8194639535,138.9271917793,1083741.2457104190,-0.0038771325,,,-0.0043210537,0.0000000000,0.0000000000,0.0078026722,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-04-XLY-00058,2020-01-04T00:00:00Z,2,XLY,NORMAL,sparse_history,v1,147.1318185510,147.1749732754,146.8731115882,146.9162030712,1078938.2819411277,-0.0014665327,,,-0.0014654579,0.0000000000,0.0000000000,0.0004042551,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-04-CASH-00059,2020-01-04T00:00:00Z,2,CASH,NORMAL,sparse_history,v1,147.5319851320,147.6056464802,147.5197112194,147.5933674609,889169.6965002703,0.0004159746,,,0.0000000000,0.0000000000,0.0000000000,0.0005818661,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-05-SPY-00060,2020-01-05T00:00:00Z,3,SPY,NORMAL,sparse_history,v1,100.8572737059,100.9924906206,100.0491365680,100.1834501036,942835.8988722493,-0.0067033794,,,-0.0112037213,0.0000000000,0.0000000000,-0.0007022438,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-05-QQQ-00061,2020-01-05T00:00:00Z,3,QQQ,NORMAL,sparse_history,v1,101.5907290365,102.8136974484,101.3880844301,102.6090216379,1023603.0530962950,0.0099735777,,,0.0000000000,0.0000000000,0.0000000000,0.0027490712,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-05-TLT-00062,2020-01-05T00:00:00Z,3,TLT,NORMAL,sparse_history,v1,104.3978294011,104.4913586871,104.3822479715,104.4757656255,931408.1733852075,0.0007462526,,,0.0000000000,0.0000000000,0.0000000000,0.0049391126,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-05-GLD-00063,2020-01-05T00:00:00Z,3,GLD,NORMAL,sparse_history,v1,109.7325594393,110.1485658484,109.6633524974,110.0791403223,909091.0635417362,0.0031534370,,,0.0000000000,0.0000000000,0.0000000000,0.0164880697,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-05-IWM-00064,2020-01-05T00:00:00Z,3,IWM,NORMAL,sparse_history,v1,110.3518525247,111.3003125500,110.1944326147,111.1417658073,879452.7937789671,0.0071326356,,,0.0000000000,0.0000000000,0.0000000000,0.0003456818,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-05-EEM-00065,2020-01-05T00:00:00Z,3,EEM,NORMAL,sparse_history,v1,112.8641601921,113.8239262659,112.7048567609,113.6634946049,963729.6613858509,0.0070573081,,,-0.0005063004,0.0000000000,0.0000000000,-0.0146049217,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-05-HYG-00066,2020-01-05T00:00:00Z,3,HYG,NORMAL,sparse_history,v1,118.0443441052,118.1780593096,118.0220705002,118.1557646809,1156481.0780539960,0.0009434423,,,0.0000000000,0.0000000000,0.0000000000,-0.0186162593,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-05-LQD-00067,2020-01-05T00:00:00Z,3,LQD,NORMAL,sparse_history,v1,118.8387329417,119.0067011701,117.8350670570,118.0018524275,991920.2897960821,-0.0070670658,,,-0.0070421528,0.0000000000,0.0000000000,0.0071536872,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-05-VNQ-00068,2020-01-05T00:00:00Z,3,VNQ,NORMAL,sparse_history,v1,119.3219912942,119.5023296990,118.2447168957,118.4236976560,961170.0326937408,-0.0075567967,,,-0.0149153681,0.0000000000,0.0000000000,0.0059526535,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-05-DBC-00069,2020-01-05T00:00:00Z,3,DBC,NORMAL,sparse_history,v1,122.2430267563,123.5109349701,122.0327669967,123.2988591637,960325.9953997788,0.0086000717,,,-0.0019915804,0.0000000000,0.0000000000,-0.0076227398,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-05-XLK-00070,2020-01-05T00:00:00Z,3,XLK,NORMAL,sparse_history,v1,127.5897592880,128.1535892417,127.4959889136,128.0594736570,1041386.7686916827,0.0036746826,,,0.0000000000,0.0000000000,0.0000000000,0.0068067482,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-05-XLF-00071,2020-01-05T00:00:00Z,3,XLF,NORMAL,sparse_history,v1,128.6446405879,128.9033130817,127.1016730717,127.3577579635,1031010.4115582861,-0.0100537610,,,-0.0100033909,0.0000000000,0.0000000000,0.0057049688,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-05-XLE-00072,2020-01-05T00:00:00Z,3,XLE,NORMAL,sparse_history,v1,130.1963271679,132.4074347477,129.8308181504,132.0367589606,1251382.6500272397,0.0140368406,,,0.0000000000,0.0000000000,0.0000000000,0.0043659264,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-05-XLP-00073,2020-01-05T00:00:00Z,3,XLP,NORMAL,sparse_history,v1,134.4635862773,134.9499557347,134.3826668963,134.8687925031,847369.4597440850,0.0030089701,,,0.0000000000,0.0000000000,0.0000000000,-0.0022054366,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-05-XLU-00074,2020-01-05T00:00:00Z,3,XLU,NORMAL,sparse_history,v1,136.7588673348,137.3405759756,136.6621158037,137.2434815989,856736.9197536486,0.0035373038,,,0.0000000000,0.0000000000,0.0000000000,0.0078139049,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-05-XLI-00075,2020-01-05T00:00:00Z,3,XLI,NORMAL,sparse_history,v1,136.5975801435,136.8305326292,136.5587868800,136.7916842408,1024001.7075500627,0.0014199836,,,-0.0079475461,0.0000000000,0.0000000000,-0.0092476173,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-05-XLC-00076,2020-01-05T00:00:00Z,3,XLC,NORMAL,sparse_history,v1,140.5439962956,140.9220064105,138.2936371190,138.6665977428,1019423.2988327694,-0.0134481061,,,-0.0133580843,0.0000000000,0.0000000000,-0.0062946980,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-05-XLB-00077,2020-01-05T00:00:00Z,3,XLB,NORMAL,sparse_history,v1,138.9271917793,140.2339341004,138.7103911131,140.0154351929,924764.3037724546,0.0078026722,,,0.0000000000,0.0000000000,0.0000000000,-0.0087555423,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-05-XLY-00078,2020-01-05T00:00:00Z,3,XLY,NORMAL,sparse_history,v1,146.9162030712,146.9874898297,146.9043247463,146.9756067020,1189790.8889784184,0.0004042551,,,-0.0010617136,0.0000000000,0.0000000000,-0.0112608957,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-05-CASH-00079,2020-01-05T00:00:00Z,3,CASH,NORMAL,sparse_history,v1,147.5933674609,147.6964579464,147.5761915445,147.6792720330,1055561.6969788251,0.0005818661,,,0.0000000000,0.0000000000,0.0000000000,0.0003167323,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-06-SPY-00080,2020-01-06T00:00:00Z,4,SPY,NORMAL,sparse_history,v1,100.1834501036,100.1975207452,100.0990608285,100.1131215925,1109033.5051874612,-0.0007022438,0.0062354469,,-0.0118978536,0.1013260118,1.5702419122,0.0041890594,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-06-QQQ-00081,2020-01-06T00:00:00Z,4,QQQ,NORMAL,sparse_history,v1,102.6090216379,102.9480604334,102.5526057367,102.8914892275,758472.7687978196,0.0027490712,0.0058580853,,0.0000000000,0.0951938857,-1.6822568108,-0.0107710670,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-06-TLT-00082,2020-01-06T00:00:00Z,4,TLT,NORMAL,sparse_history,v1,104.4757656255,105.0967741345,104.3725621122,104.9930596266,1055928.0816308316,0.0049391126,0.0062232404,,0.0000000000,0.1011276558,0.5207163773,0.0131355660,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-06-GLD-00083,2020-01-06T00:00:00Z,4,GLD,NORMAL,sparse_history,v1,110.0791403223,112.2782115605,109.7161418153,111.9091782949,1027865.0272539025,0.0164880697,0.0079077939,,0.0000000000,0.1285016507,1.0273334647,0.0056844079,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
2020-01-06-IWM-00084,2020-01-06T00:00:00Z,4,IWM,NORMAL,sparse_history,v1,111.1417658073,111.1878787252,111.1340818707,111.1801921319,978832.9602965396,0.0003456818,0.0044573804,,0.0000000000,0.0724324316,0.5404539082,0.0040696472,NORMAL,INSUFFICIENT_HISTORY;SPARSE_HISTORY,false
